Text,Sentiment
 จากที่วิชาดูยาก แต่อาจารย์สอนจนมันดูง่ายไปเลย step การสอนของอาจารย์คือเข้าใจง่ายมาก เลิฟเลิฟ เลยครับ,Positive
"เทอมนี้อาจารย์สอนดีมากเลยค่ะ เนื้อหาครอบคลุม สามารถเข้าใจในเรื่องของพื้นฐานโครงสร้างได้ 
ลักษณะงานเขียนแบบและงานโปรเจคเหมาะสมดี ได้ความรู้ ความเข้าใจ คำแนะนำ ความคิดเห็นของอาจารย์ไปปรับใช้ได้",Positive
" ผมชอบที่อาจารย์ไม่กดดันและมีการเล่าประสบการณ์ที่สอดคล้องกับเรื่องที่สอนขั้นระหว่างเรียนครับ
ขอบคุณครับ",Positive
 มีความรุ้ความเข้าใจในวิชาที่สอนเยี่ยมยอดเลยค่ะ สอนเข้าใจมากเลยค่ะ,Positive
 รักอาจารย์ อยู่เป็นกำลังใจให้กันไปเรื่อยๆจนแก่เลย,Positive
"รู้สึกได้เลยว่าตั้งใจสอนค่ะ เนื้อหาค่อนข้างเยอะกว่าวิชาอื่นๆ อาจารย์พูดเร็วด้วย เยอะด้วย เสียงอาจารย์ทำให้รู้สึกง่วงมากค่ะ 
เนื้อหาเยอะ แล้วก็ออกข้อสอบค่อนข้างครอบคลุมที่สอน ถ้าไม่ตั้งใจฟังดีๆ ก็จะทำไม่ได้ค่ะ รู้สึกว่าเป็นวิชาที่ต้องตั้งใจฟังมากๆ ทำให้รู้สึกเครียดค่ะ
เวลาสั่งงานสั่งให้ชัดเจนกว่านี้นะคะ ขอแบบระเอียดกว่านี้ บางทีพิมมาไม่เข้าใจค่ะ
อาจารย์เป็นวิชาเดียวที่ตรวจงานแล้วคอมเม้นต์กลับในคลาสรูมค่ะ วิชาอื่นไม่มีเลย แม้แต่วิชาดีไซน์ รู้สึกประทับใจ :) เพราะการไม่มีfeedbackกลับมาจากงานที่ส่ง ทำให้ทางนี้ไม่รู้เลยว่าทำอะไรผิดไป
ข้อสุดท้าย เวลาสอบน้อยไปนะคะ เด็กๆ ไม่ได้ทำข้อสอบได้เร็วเท่าอาจารย์ค่ะ
",Positive
อาจารบ์สอนดีค่ะ เปิดทางให้ นักศึกษา ได้ปรึกษา,Positive
 สอนดีมากครับ อธิบายดีมากครับ,Positive
"สอนดีแล้วค่ะ มีถามตอบ ไม่เบื่อ
แต่อยากลองทำงาน PLC จริงๆ มากกว่านี้ค่ะ",Positive
 สามารถนำความรู้ที่ได้รับไปต่อยอดได้ อาจารย์มีความรับผิดชอบ สอนดี และมีความเชี่ยวชาญในการสอนในวิชานี้,Positive
 อาจารย์ สอนดีครับ,Positive
 อาจารย์สอนดีมากๆค่ะ,Positive
 อยากให้มีการดูโรงงานที่มากขึ้นและมีความหลากหลายมากขึ้นค่ะอาจารย์เพื่อให้น้องๆรุ่นต่อไปได้มีแนวทางเพิ่มขึ้นในการนำไปตัดสินใจในการทำงาน ให้มีทั้งส่วนของภาครัฐ หน่วยงานต่างๆ ด้านวิทยาศาสตร์ก็ได้ค่ะ เพราะในความคิดเห็นส่วนตัวของหนูรู้สึกชอบการไปดูงานตามโรงงาน เพราะว่าได้เห็นอะไรใหม่ๆ ได้รับความรู้เพิ่มขึ้น ได้เห็นการทำงานจริงๆ หนูเลยคิดว่าถ้าได้ไปหลายๆที่น่าจะดีกว่านี้ ขอบคุณอาจารย์มากๆเลยค่ะที่พาพวกหนูไปและก็ช่วยตอบคำถามที่สงสัยหรือไปถามกับพี่ๆพนักงานให้พวกหนู ขอบคุณค่ะ,Positive
อยากให้มีเกมให้เล่นเยอะๆเลยค่ะ มันช่วยทำให้เรากล้าที่จะมีส่วนรวมมากกว่าการถามตามธรรมดา รู้สึกว่าทำแบบนี้จะยิ่งทำให้บรรยากาศในห้องเรียนดูไม่กดดันเกินไปค่ะ ,Positive
 อาจารย์ น่ารัก พูดจาดี พูดเพราะ เข้าใจนักศึกษามาก ไม่เคยเหวี่ยงเลย  อยากเรียนกับอาจารย์อีกกก,Positive
 อาจารพยามทำให้เข้าใจทั้งๆที่ไม่ได้ทดลองจิงๆดีค่ะ,Positive
 อาจารย์ช่วยเรื่องโปรเจ็คเยอะมากๆค่ะ ช่วยทำให้เราเข้าใจโค้ดมากขึ้น ดูเหมือนจะดุแต่ไม่ค่ะ ไม่ค่อยน่ากลัวช่วยให้เราทำความเข้าใจโค้ดที่ใส่ในโปรเจ็คว่าจริงๆแล้วเราเข้าใจจริงๆใช่มั้ย ไม่เข้าใจอาจารย์ก็อธิบายจนกว่าเราจะเข้าใจ พยายามให้กำลังใจกับเด็กๆที่ส่งโปรเจ็ค ขอบคุณนะคะ,Positive
 อาจารย์ช่วยให้จากที่กลัวภาษาอังกฤษ ชอบภาษาอังกฤษมากขึ้น,Positive
 อาจารย์ตั้งใจสอนดีมากค่ะ,Positive
 อาจารย์ตั้งใจสอนและสอนดีมากๆแม้จะสอนครั้งแรก มีการแนะนำโจทย์ให้ทำ สอนการใช้ excel คำนวณซึ่งตรงกับที่นักศึกษาต้องใช้ในชีวิตจริงมากๆเลย ขอบคุณนะคะ อาจารย์ไม่ต้องกังวลนะคะ,Positive
 อาจารย์น่ารักมากค่ะ,Positive
 อาจารย์น่ารักมากๆค่ะ,Positive
 อาจารย์นิสัยดีมากค่ะ พูดสุภาพ การปรับสอนเข้ากับยุคสมัย เข้าใจ ให้อิสระกับผู้เรียน สอนเน้นความเข้าใจ ใส่ใจการสอน ใส่ใจผู้เรียนดีมากค่ะ อยากให้มีอาจารย์แบบนี้เยอะๆ,Positive
 อาจารย์มีความเข้าใจนักศึกษามากเลยค่ะ,Positive
 อาจารย์มีความรู้ความเข้าใจในวิชาที่สอนและมีการเชิญวิทยากรที่เกี่ยวข้องกับหลักสูตรนี้มาบรรยายทำให้เข้าใจมุมมองของวิชานี้มากขึ้นในความเห็นส่วนตัวการรับรู้สิ่งที่อาจารย์ได้สอนวิชาในรูปเรียนออนไลน์อาจจะไม่ดีเท่ากับการมาเรียนที่มหาวิทยาลัยแต่ว่าอาจารย์ท่านก็มีความพยายามที่อยากจะให้ศิษย์เห็นมุมมองของวิชานี้ให้ได้มากที่สุดในช่วงสถาการณ์ที่ทุกคนกำลังเผชิญอยู่ ขอบคุณอาจารย์ครับ,Positive
 อาจารย์มีความรู้ความเข้าใจในวิชาที่สอนและมีการเชิญวิทยากรที่เกี่ยวข้องกับหลักสูตรนี้มาบรรยายทำให้เข้าใจมุมมองของวิชานี้มากขึ้นในความเห็นส่วนตัวการรับรู้สิ่งที่อาจารย์ได้สอนวิชาในรูปเรียนออนไลน์อาจจะไม่ดีเท่ากับการมาเรียนที่มหาวิทยาลัยแต่ว่าอาจารย์ท่านก็มีความพยายามที่อยากจะให้ศิษย์เห็นมุมมองของวิชานี้ให้ได้มากที่สุดในช่วงสถาการณ์ที่ทุกคนกำลังเผชิญอยู่ ขอบคุณอาจารย์ครับ ที่ทุมเทศักยภาพของตัวเองเพื่อที่จะอยากเห็นศิษย์ประสบความสำเร็จในการเรียนครับ,Positive
 อาจารย์สอนเข้าใจ มีเทคนิคการจำที่ดีมากๆค่ะ ขอบคุณนะคะ,Positive
 อาจารย์สอนเข้าใจง่าย ไม่เข้าใจอะไรสามารถถามได้โดยอาจารย์จะไม่ว่า แล้วอาจารย์ก็จะอัดหน้าจอการสอนไว้ให้ ถ้าไม่ได้เรียนในวันนั้น หรือยังไม่เข้าใจ สามารถดูซ้ำได้ครับ,Positive
 อาจารย์สอนเข้าใจในทุกรายละเอียด,Positive
 อาจารย์สอนช่วยอธิบายจนเข้าใจเนื้อหาได้ดีค่ะ ,Positive
 อาจารย์สอนดี เข้าใจมากครับ,Positive
 อาจารย์สอนดี เวลาอธิบายแล้วเห็นภาพถึงแม้ว่าจะเรียนออนไลน์,Positive
 อาจารย์สอนดีค่ะ น้ำเสียงน่าฟัง,Positive
 อาจารย์สอนดีค่ะ ไปไวมากๆเลยเพื่อนทั้งห้องก็ไวมากๆเช่นกันค่ะ ,Positive
 อาจารย์สอนดีค่ะเนื้อหาดีแต่หนูโง่เองที่จะชอบงงวิชาอาจารย์,Positive
 อาจารย์สอนดีมากค่ะ ใจดีมาก และให้ความสำคัญกับความคิดเห็นของผู้เรียนเป็นหลัก,Positive
 อาจารย์สอนดีมากค่ะ แต่หนูฝึกทำโจทย์น้อยเกินไป,Positive
 อาจารย์สอนดีมากค่ะ และให้ข้อมูลครบถ้วนละเอียดมาก ขอบคุณมากๆค่ะ,Positive
 อาจารย์สอนดีมากค่ะ ใส่ใจนักเรียนมาก,Positive
 อาจารย์สอนดีมากจริงๆค่ะ หนูไม่ได้อวย สอนให้ได้ทำงาน แนะนำติชม ทำให้ได้พัฒนาและปรับปรุงงาน ขอบคุณนะคะที่สอนพวกหนู,Positive
 อาจารย์สอนดีมากเลยค่าา สอนเร็วแต่เข้าใจดีค่ะ,Positive
 อาจารย์สอนดีและให้คำปรึกษาได้ดีมากครับขอบคุณนะครับอาจารย์ผมอยากให้อาจารย์สอนผมทุกวิชาเลยครับ555,Positive
 อาจารย์สอนดีเสียงดังฟังชัด ฟังง่าย,Positive
 อาจารย์สอนเต็มที่มากครับพยายามอยากให้เด็กทุกคนเข้าใจอุปกรณ์ต่างๆในห้องพร้อมมากๆครับ,Positive
 อาจารย์ใส่ใจ ตั้งใจสอน มีความรู้รอบด้าน หลังการสอนผู้เรียนมีความรู้ความเข้าใจในเนื้อหาที่เรียนครบถ้วน เป็นที่ปรึกษาที่ดีให้กับนักศึกษา อาจารย์เสียสละเพื่อส่วนรวมเป็นอย่างมาก ,Positive
"
สอนดีเข้าใจง่าย",Positive
"!! อาจารย์ !! แค่ได้ยินชื่อนี้ก็รู้สึกว่าอย่างน้อยยังมีเรื่องราวดีๆ เกิดขึ้นในตอนที่เรียนวิชาที่แสนทรมาณมากมาย เอาจริงๆ ไม่ว่าจะวิชาไหนตัวนศ พร้อมสู้นะคะ ถ้าได้อาจารย์ที่ดี ที่ทำให้รู้สึกกว่า อ่ะ รอดแล้ว เจอคนนี้ ซึ่งอาจารย์ คืออาจารย์คนนั้นค่ะ เป็นอาจารย์ที่ดีมากๆเลยค่ะ ดีจนแบบถ้าถามว่าคณะของเรามีของดีคืออะไร ก็คงพูดได้อย่างภาคภูมิใจอย่างเต็มปากว่า อาจารย์นี่แหละค่ะ ของดีที่สุดประจำคณะ ถ้าจะให้ถามว่าดีขนาดไหน คงกล่าวได้ว่าดีเท่าที่คนๆนึงสามารถจะดีได้แล้ว เป็นอาจารย์ที่ใจเย็นมาก ใจเย็น และ  แสนดี จนรู้สึกว่าเราเองที่เป็น นศ ในเมื่อเจออาจารย์ที่ดี และ เข้าใจเด็กมากขนาดนี้ ทำให้เราไม่อยากจะทำให้เขาเสียใจไม่ว่าจะเรื่องอะไรเลยนะคะ อาจารย์ดีมาก ดีจนตัวนศเองอยากที่จะดีตาม อยากจะขอบคุณที่ทำให้เราเรียนในสภาวะที่หนักอึ้งพร้อมที่จะแตกสลายได้ทุกเมื่อ มีน้ำเย็นๆของอาจารย์คอยชโลมจิตใจ ให้รู้สึกว่าไม่เป็นไรเดี๋ยวก็เช้าแล้ว เช้าก็ได้เรียนของอจ ไง เป็นวิชาที่ทำให้รู้สึกว่าเรียนแล้วแฮปปี้มาก สนุกมาก ไม่เครียด หรือถ้าเครียดและเกิดความกังวลเกิดขึ้น เมื่อทักถามอาจารย์ ตัวอาจารย์ก็พร้อมที่จะรีแอคตอบกลับแบบทันทีทันใจ พร้อมด้วยประโยคแสนเรียบง่ายแต่ดราตรึงใจว่า ไม่เป็นไรค่ะ เราคุยกันได้เนอะ มีอะไรเราคุยกันได้อยู่แล้ว ไม่ต้องกังวลเลย โฮ !!! ใครได้ฟังประโยคแสนเรียบง่ายแต่มีพลังบวกล้านแปดพวกนี้มา เป็นได้ใจเหลวเป็นล้านแปดทั้งนั้น เมื่อเรากำลังกังวลในเรื่องของจิตใจจนเรารู้สึกตัวเล็กลงเรื่อยๆ แต่กับมีอาจารย์ที่เป็นคนคอยดึงเราให้เรากล้าที่จะหลุดออกจากสภาวะตัวเล็กนั้น เชื่อและมั่นใจว่า อาจารย์คงได้รับรู้ ว่ามีคนพูดเยอะแล้วว่าอาจารย์แสนดี เป็นคนที่ดีมากๆ เป็นอจที่ดีจนไม่รู้จะสรรหาคำไหนมาเปรียบเปรยให้อจ ได้เห็นภาพ ไม่รู้จะขอบคุณยังไงเลยค่ะ อยากขอบคุณออกมาจากใจจริงๆ อาจารย์เติบโตมาได้แบบมีคุณภาพมาก ขอบคุณที่ทำให้รู้สึกว่าอยากเติบโตไปเป็นคนแบบอาจารย์นะคะ ดีใจเป็นอย่างยิ่งที่ได้เรียนกับอาจารย์ ใครไม่เรียนถือว่าพลาดมากนะคะ พลาดของดี สิ่งที่ดี ประจำคณะไปได้ยังไง  !!! 
      **** ขอให้ทุกอย่างของอาจารย์ รายล้อมไปด้วยสิ่งดีๆ เรื่องราวดีๆ เหมือนกับที่อาจารย์แสนดีกับทุกเรื่องที่ผ่านเข้ามา *****
       ขอบคุณที่ทำให้รู้สึกว่า คณะนี้น่าเรียนมากขึ้นนะคะ อาจจะพูดยาวไปหน่อยนะคะ แต่ความรู้สึกที่ถูกกลั่นกรองเป็นคำพูดเหล่านี้นั้นตัวนักศึกษาเองกลั่นกรองมันออกมาจากใจจริงๆ จากที่ได้เรียนกับอาจารย์ตั้งแต่ปี 2 เทอม 2  Have a  good time ",Positive
((เทอมหน้ามาสอนอัลกอ RC นะคะ)) ยอด ดีเลิศ ประเสริฐ เด็ดขาด อันดับหนึ่ง ศักดิ์สิทธิ์ มหัศจรรย์ ที่สุด สุดยอด เยี่ยม ยอดเยี่ยม ดีที่สุด เลิศที่สุด ชนะเลิศ เลิศเลอ ดีเด่น สุดเหวี่ยง วิเศษ ฮีโร่ บริสุทธิ์ ล้ำเลิศ ชั้นเลิศ เลิศล้ำ เด็ด หนึ่งเดียว ยอดไปเลย,Positive
สอนดี,Positive
:) :) ดีมาก ครับ,Positive
":)
ชอบครับ เร็วแต่รู้เรื่อง
ภาษาเหนือน่ารักมากๆครับคะ",Positive
"_ชอบความหลากหลายของเนื้อหาที่เรียน
_ชอบการออกไปนอกสถานที่
_อาจารย์ที่มาสอนสอนสนุก เก่ง",Positive
+10 ครับอาจารย์คนนี้,Positive
✌️,Positive
✌️ดี,Positive
1 ในดวงใจในปีนี้เลยครับ ขอให้อาจารย์สอนแบบนี้ตลอดไปครับ,Positive
"1. วิชาอาจารย์เปิดโลกแห่งการวิจัยให้ผมมาก ๆ เลยครับ จากเดิมเป็นคนที่เข้าใจแบบจับแพะชนแกะด้วยตัวเองมาตลอด เพราะไม่เคยเรียนสถิติวิจัยเป็นเรื่องเป็นราวแบบนี้ ตอนเรียนที่อเมริกาก็ไม่ได้ลงเรียนเพราะมองว่าไม่น่าจะได้ใช้
2. ชอบแนวทางการสอนของอาจารย์มากครับ การเรียน ป.เอก ควรให้ลงมือทำแบบนี้ อาจารย์เป็นอาจารย์พันธุ์ใหม่ที่แท้จริง สอนแบบ Coaching, Facilitating โดยไม่ต้องเสียเวลาเหนื่อยเพื่อบรรยายเลยครับ ขอบคุณอาจารย์มากสำหรับความรู้ที่ได้รับครับ",Positive
"1. อาจารย์มีความรู้และถ่ายทอดสิ่งที่เป็นประโยชน์ได้ดีมากครับ
2. อาจารย์ให้ความช่วยเหลือในกรณีที่มีปัญหา",Positive
"1.)อาจารย์สอนดีมากครับ มีวีดีโอให้ดูก่อนเรียน สอนแบบเป็นกันเองไม่ดุ การบ้านและข้อสอบก็ไม่ยากจนเกินไป
2.)แต่หลังๆที่เป็นเนื้อหาปลายภาครู้สึกเหมือนให้มีการตอบคำถามในคาบที่เยอะขึ้นกว่ากลางภาค แล้วเหมือนแข่งกันตอบคำถามเยอะขึ้นและการเรียนไปค่อนข้างเร็วกว่ากลางภาค ความรู้สึกเหมือนเข้าเรียนมาเพื่อแข่งตอบคำถามมากกว่ามาเพื่อที่จะทบทวนเนื้อหาซ้ำจากที่ดูวีดีโอมาก่อนเรียน อย่างวิชาอื่นๆที่เรียนมา อาจารย์แต่ละท่านก็จะเรียกชื่อที่ละคนเพื่อตอบคำถาม เหมือนเป็นการเช็คชื่อเข้าเรียนภายในตัว แต่ถ้าเรียกแล้วไม่ตอบก็ค่อยเปิดโอกาสให้คนที่อยากตอบได้ตอบคำถาม
3.)ชอบที่คะแนนเก็บเยอะ ทำให้รู้สึกเรียนไม่เครียด
ถึงสอบได้คะแนนน้อย แต่ก็มีคะแนนเก็บมาช่วย
4.)อยากให้อาจารย์สอนโจทย์เยอะขึ้น พูดเนื้อหาน้อยลงเนื่องจากเนื้อหาสามารถไปดูวีดีโอก่อนเรียนได้
*หากสิ่งที่ผมเขียนดูไม่ดีหรือไม่สุภาพ ขอโทษอาจารย์ด้วยครับ ขอบคุณครับอาจารย์ อาจารย์สอนดีมากครับ*",Positive
"1.สื่อการเรียนการสอนในด้านของหนังสือ จากที่อ่านครบทุกบทแล้วมีคำผิดเป็นจำนวนมาก และเรื่องที่อ่านมีความซ้ำซ้อนในแต่ละบท เช่น คำว่าต้องมีผู้อนุมัติ หรือต้องซื้อสัตย์ มีไม่ต่ำกว่า 10 ครั้ง เฉพาะแค่บท 6-12 ทำให้เกิดความเบื่อหน่ายในการอ่านหนังสือเอง และบางทีหนังสืออ่านเข้าใจยากด้วยครับ ข้อสังเกตุคือ ลองเปรียบเทียบ การทำความเข้าใจกับหนังสือวิจัย ของดร.ธานินทร์ หนังสือวิจัยอ่านแล้วไม่วกวนทำให้เปรียบเทียบกันออกมาได้ครับ
2.อาจารย์สอนดีแล้วครับ เนื้อหาครบถ้วน และถูกต้องดี",Positive
"1.อาจารย์ไม่มีความเด็ดขาดในคำพูดหรือการสั่งงานทำให้นักศึกษามีความกระตือรือร้นในการทำงานส่งลดลง
2.หลังจากสั่งงานในห้อง ควรมีข้อความที่เป็นลายลักษณ์อักษรสำหรับการสั่งงานนั้น เพื่อให้นักศึกษาย้อนดูคำสั่งงานได้ และลดความสับสนหรือการโต้เทียงของนักศึกษา ",Positive
10 10 10 ไปเลยค่ะ สอนดีเข้าใจง่าย อธิบายครบ,Positive
10 10 10 ไม่หักค่าา ,Positive
"10/10 เลยครับ อาจารย์หมู สุดยอดอาจารย์
ขอให้ปีถัดๆไปสอนรุ่นน้องดีๆ แบบนี้อีกนะครับ ",Positive
10/10 อาจารย์สอนดีมากค่ะ,Positive
10วันนี้สนุกมากเลยครับอาจารย์ ขอบคุณครับ,Positive
A+นะคะอออนนี่,Positive
Aj.น่ารักที่สุด กู๊ดๆๆๆ,Positive
Aแค่Aขอบคุณครับ,Positive
BBR ห้องบี อยากให้อาจารย์ตามมาสอนทุกปีนะคะ ได้ความรู้ ได้ภาษาด้วยค่ะ,Positive
C32 สอนแล้วต่างจากเทอมแรกที่เราเรียนด้วยกันไหม เทอมนี้สนุกสนานขึ้นเยอะถ้าเทียบกับตอนที่เรายังไม่รู้จักกันมากนั้นใช่ไหมละครับ:),Positive
cad พื้นฐานสอนเข้าใจง่าย,Positive
class สุดท้ายลืมพูดไปนิดนึงค่ะ ตอนแรกที่ลงทะเบียนเอาจริงๆก็คือลงตามตารางที่เค้าให้มาอ่ะแหล่ะค่ะ ลงโดยที่ไม่รู้ว่าวิชานี้คือเหมือนจะต้องเเย่งกันลง ตอนแรกก็รู้สึกเฉยๆมากที่แบบลงวิชานี้ได้ แต่พอได้เรียนแล้วก็รู้สึกว่าเราโชคดีและเก่งมากที่วันนั้นสามารถลงทะเบียนได้ และก็ชื่นชมเน็ตตัวเองด้วยที่สามารถลงให้ตัวเองเเละเพื่อนได้,Positive
"course syllabus อยากให้เป็นเอกสารแบบทางการมากกว่าค่ะนักศึกษาจะได้เข้าใจว่าอาจารย์จะสั่งงานอะไรต่อไปค่ะ
แต่โดยรวมๆแล้วเนื้อหาที่อาจารย์นำมาสอนสามารถเข้าใจได้ดีเลยค่ะถ้ามีเอกสารหรือหนังสือ(นอกเหนือจากสไลด์)มาประกอบกับความรู้ที่อาจารย์สอนนักศึกษาจะสามารถเข้าใจเนื้อหาได้ดีขึ้นค่ะ",Positive
energy อาจารย์ปังมาก หนูชอบ,Positive
Field Survey สนุกดีค่ะ เหมือนได้ฝึกเอาชีวิตรอด,Positive
Lab physics จัดการปัญหาการเรียนการสอนได้ดีมาก วางแผนได้ดีมาก นักศึกษามีความสุขกับการเรียน ชื่นชมจริงๆ การเรียนออนไลน์ไม่เพิ่มความเครียดให้นักศึกษา,Positive
Labสนุก ทำไปตื่นเต้นไปตลอดเวลาอาจารย์ก็ใจดีสอนรู้เรื่องเข้าใจง่ายค่ะ,Positive
Love อาจารย์ จากพวกไอต้าวRG,Positive
Loveอาจารย์สุดๆครับ,Positive
Online 100% อาจารย์ดีมาก วางแผนการสอนได้ดีเยี่ยม มี exercise ทุกสัปดาห์,Positive
"Perfect Teacher 
ทำให้ผมรู้สึกเหมือนได้เรียน โรงเรียนอีกรอบเลยครับ สนุกดี อบอุ่นด้วย55",Positive
"Perfect! 
(แต่จารย์ครับ คำว่า""นะคะ""ไม่มีไม้เอกครับ",Positive
PLC หลายรุ่นหลายรุ่นเกินครับ สับสน แต่อาจารย์สอนดีครับ,Positive
Practical English 2 จารย์สอนอีกนะครับ ,Positive
สไลด์ การสอนของอาจารย์ อาจจะดูมีข้อความเนื้อหาอัดเยอะๆ แต่ทำให้สามารถกลับไปอ่านย้อนหลังได้รู้เรื่องเพราะเนื้อหาครบถ้วนตรงตามที่อาจารย์สอนค่ะ ,Positive
TA พี่ พี่ ใจดีมาก ไม่เข้าใจก็มาสอนให้ใหม่ตลอด ,Positive
TAสอนดีมากครับน่าจะเป็นแลปที่ผมชอบที่สุดตั้งแต่เรียนมา ติดอย่างเดียวตอนสั่งงานชอบลืมใส่ชื่อผมไปในงานบ่อยๆ,Positive
teacher ค่อนข้างเอาจริงเอาจังเวลาสอบเก็บคะแนน ด้วยน้ำเสียงที่ดุดัน ทำให้นักศึกษาค่อนข้างกดดันและเครียด,Positive
Teacher ใจดีมาก Cheer up นักศึกษาตลอด,Positive
teacher เป็นกันเองดีค่ะ อาจจะมีบางครั้งที่แอบหงุดหงิดนิดหน่อยแต่โดยรวมก็โอเคค่ะ,Positive
Teacher มีความเป็นกันเองกับนักศึกษา สอนสนุกและเข้าใจง่าย มีการได้โต้ตอบในเรื่องที่เรียนตลอด ,Positive
Teacher ให้ทริกเยอะในการใช้ภาษาอังกฤษ พยายามอธิบายให้เข้าใจได้ดี,Positive
teacherสอนแบบค่อยๆเป็นค่อยๆไป ไม่เอาเนื้อหามาอัดแน่นในวันเดียวเยอะๆ,Positive
Term Project ยากมากๆครับ แต่ยังดีตรงที่ให้เลื่อนเพื่อให้นักศึกษา ได้สอบหัวข้อกันก่อน ขอบคุณครับ,Positive
the best ครับผมรักเลย,Positive
very good. ของโคตรดี,Positive
เเนะนำนักศึกษาดีมากครับ,Positive
ก็ขอบคุณอาจารย์ ด้วยนะครับ ที่คอยช่วยเหลือในเรื่องต่างๆ เเละคอยให้ทำปรึกษา คอยเปิดเเลปให้ซ้อมทำ ,Positive
กฎระเบียบเรื่องการแต่งกายชัดเจนดีครับ,Positive
กฎแห่งกรรมยุติธรรมที่สุด ผมชอบมากเลยครับ เป็นแนวทางให้กับชีวิตที่ดี,Positive
ก็ดีนะครับ ตัววิชาเนื้อหาเยอะ แต่ข้อสอบก็ไม่ได้ออกทั้งหมดในเนื้อหา ข้อสอบเลยไม่ยากจนเกินไป,Positive
ก็ดีนะคะ,Positive
กรรมการมีคำแนะนำดีในวันที่เสนอหัวข้อ,Positive
กราบขอบพระคุณอาจารย์ด้วยครับ,Positive
กราบขอบพระคุณอาจารย์ด้วยนะครับ,Positive
กราบขอบพระคุณอาจารย์ที่เข้าใจหนูแม้หนูจะป่วยก็ตาม ขอบพระคุณอาจารย์ที่คอยชี้แนะในจุดที่หนูไม่เข้าใจ ขอบพระคุณจริงๆค่ะ,Positive
กราบเรียนท่านอาจารย์  กราบขอบพระคุณอาจารย์เป็นอย่างสูงนะครับที่เปิดโอกาสให้กระผมกลับเข้ามาเรียนใหม่ครับ ในส่วนนี้กระผมอยากจะเสนอแนะให้กับท่านอาจารย์ครับสำหรับรุ่นน้องต่อไปครับ ว่าถ้าเป็นไปได้ตอนที่มีการอบรมห้องสมุดผมอยากให้ทางห้องสมุดเพิ่มเทคนิคในการสืบค้นฐานข้อมูลของ Google Scholar เข้าไปในฐานข้อมูลของมหาวิทยาลัยด้วยนะครับ คือทำเป็น Hybrid กันครับเหมือนกับที่รุ่นผมเคยได้รับการอบรมเพิ่มครับอาจารย์น่าจะเป็นประโยชน์ให้กับรุ่นน้องต่อไปครับ    ด้วยความเคารพและนับถืออย่างสูงครับ ,Positive
